gene,mean_centered_RNAPIISer5-P_Granule,mean_centered_RNAPIISer5-P_Purkinje,mean_centered_RNAPIISer5-P_MLI1,mean_centered_RNAPIISer5-P_MLI2+PLI,mean_centered_RNAPIISer5-P_Bergmann,normalized_scRNA_count_Granule,normalized_scRNA_count_Purkinje,normalized_scRNA_count_MLI1,normalized_scRNA_count_MLI2+PLI,normalized_scRNA_count_Bergmann,log10_intron_counts_Granule,log10_intron_counts_Purkinje,log10_intron_counts_MLI1,log10_intron_counts_MLI2+PLI,log10_intron_counts_Bergmann,intron_counts_Granule,intron_counts_Purkinje,intron_counts_MLI1,intron_counts_MLI2+PLI,intron_counts_Bergmann
Thsd7a,0.0,0.9288399999999999,0.88313,0.7637049999999999,0.30805999999999994,-0.870931950683399,2.95124204652079,1.42835634780071,0.4869536805447004,-0.462541132824142,-3.067442842776403,-0.5757310526056132,-1.3407745024421331,-inf,-inf,0.0008561643835616,0.265625,0.0456273764258555,0.0,0.0
Dner,0.014204999999999995,1.84047,1.2670700000000001,0.57167,0.0,-0.60750312681015,3.2551011217587,0.723759225347227,0.393087701351841,-0.61821856887255,-2.8913515837207218,-0.031663008255337605,-1.306012396182921,-1.4673614174305074,-2.71432975974524,0.0012842465753424,0.9296875,0.0494296577946768,0.034090909090909,0.0019305019305019
Sox5,0.0,0.95898,0.35345000000000004,0.2057729999999999,1.100525,-0.698493981464968,1.1913768530492,-0.750990922233681,-0.7437910650887896,1.45930639443827,-inf,-2.1072099696478683,-inf,-inf,-inf,0.0,0.0078125,0.0,0.0,0.0
Gm29536,0.0,0.8952360000000001,0.526606,0.19153599999999998,0.8640760000000001,0.0031184370333341,1.18892753258366,-0.0224197321830701,-0.0665493849722621,1.18753047762977,,,,,,,,,,
Rasal2,0.0,1.3179515,0.4363914999999999,0.38959649999999996,0.9769715,-0.74296702573771,2.05726021353523,-0.727979162691514,-0.702770772501975,0.537571154349442,-3.368472838440384,-0.8767610482695944,-inf,-inf,-2.237208505025577,0.0004280821917808,0.1328125,0.0,0.0,0.0057915057915057
Magi2,0.0,0.798802,0.532527,0.725457,0.936392,-0.292694572263093,1.4936119498487,0.0788671184758178,0.5081803514635683,1.35111343601822,-2.523374798426113,-1.505149978319906,-2.1189257528257817,-1.9444826721501711,-inf,0.0029965753424657,0.03125,0.0076045627376425,0.0113636363636363,0.0
Dgki,0.0,0.9941490000000001,0.950129,1.0365490000000002,0.354059,-0.182168232553439,1.2696162025823,1.14260840948122,0.8966071022495525,-0.748468055151604,-inf,-0.9932666173410316,-2.4199557484897687,-1.9444826721501711,-inf,0.0,0.1015625,0.0038022813688212,0.0113636363636363,0.0
Frmd4a,0.0,1.11581,1.53721,1.27691,0.6491,-0.942976938831058,0.944108618865574,1.50048086012408,0.6126779508102675,0.187722960565134,-2.0897192374875337,-0.8519374645445623,-1.3407745024421331,-1.3424226808222068,-1.5682017240669954,0.0081335616438356,0.140625,0.0456273764258555,0.0454545454545454,0.027027027027027
Phactr2,0.0,0.49494499999999997,0.612035,0.5792349999999999,0.30025,-0.997317610755353,0.92682775815677,1.38010054316348,-0.1242550687845185,-0.59153012617032,-2.669502834104345,-1.505149978319906,-2.4199557484897687,-1.9444826721501711,-2.71432975974524,0.0021404109589041,0.03125,0.0038022813688212,0.0113636363636363,0.0019305019305019
Vav3,0.0,0.6911149999999999,0.961045,0.40042,0.0935949999999999,-0.616027778130113,1.3411631276259,1.38587548139142,0.1318384059259554,-0.610068684903271,-2.8913515837207218,-inf,-2.4199557484897687,-inf,-inf,0.0012842465753424,0.0,0.0038022813688212,0.0,0.0
