baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Phlpp1	11.9199249751995	2.27004482088468	0.178744032899469	12.6999754009211	5.91482959643326e-37	8.19770212578005e-35
Mpp7	4.82576715467289	-3.79902006768114	0.299973947868722	-12.6645000163271	9.30110723831899e-37	1.27552447474547e-34
Kcnj3	10.059198390541	2.71707247657208	0.214579472829735	12.6623131315455	9.56391790449244e-37	1.2979033589555e-34
Ctnna3	23.4220195664711	5.01058149195465	0.397964243352292	12.5905318773052	2.38063832337764e-36	3.19741815226432e-34
Strbp	24.1408081076086	-1.7634456209263	0.14007104898567	-12.5896509928094	2.40735390959678e-36	3.20030680961499e-34
Sept4	6.18214695594947	2.86890562960494	0.228132565869895	12.5756076019462	2.87580715105385e-36	3.78444601655854e-34
Dync1i1	9.66398571495278	-5.67730226492834	0.45325633304533	-12.5255883945047	5.40887265487829e-36	7.04667929477544e-34
Ptprk	10.9784473662194	-6.12366791891175	0.490064034069232	-12.4956485136525	7.88506628487121e-36	1.01709548078517e-33
Kcnd3	6.56108205660144	-3.66140532610416	0.295804635745891	-12.3777821022706	3.44738210384088e-35	4.40318569106264e-33
Trim9	6.51254583059392	-2.89489778816437	0.234231711848677	-12.3591198019958	4.34892474929341e-35	5.50075646930044e-33
Ppfia2	9.34617209629078	-5.18506742014601	0.419931254240015	-12.3474196497469	5.02989380850087e-35	6.3009092824182e-33
Nrxn3	119.996405030598	-2.5251686510253	0.205603427118259	-12.2817439690481	1.13524373725836e-34	1.40856718180971e-32
Zcchc16	6.61013233291122	-5.63989491035673	0.459246678513224	-12.2807527506034	1.14923953278074e-34	1.41248043708184e-32
Phkg1	2.69495377195715	5.91243115461846	0.482053404114918	12.2650957428131	1.39447367649221e-34	1.69786944461126e-32
Shisa6	6.28481698679372	-6.39853312631613	0.523007355997688	-12.2341168875346	2.04314883535597e-34	2.464642872872e-32
Rgs7	13.7034996956534	-5.86613829359135	0.481087348579344	-12.193499394474	3.36648378747995e-34	4.0237202553476e-32
Luzp1	7.24356980195245	-3.20221156969111	0.262740370313529	-12.1877409469656	3.61298417941049e-34	4.27908708085089e-32
