baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Lrp1	3.69539938352083	4.245905968896	0.240695743819629	17.6401373016291	1.21166204325492e-69	2.3255256501614e-67
Psd3	7.2101596079571	2.65099767839184	0.15075983237298	17.5842440036234	3.25290956735142e-69	6.15532958272766e-67
Slc38a1	3.74511757640167	3.44158092140259	0.196525602220045	17.5121250489752	1.15789648318228e-68	2.16060267382693e-66
Slc6a1	8.37643174773771	5.01728443494198	0.286852527784417	17.490814787983	1.68333286668183e-68	3.09802425532472e-66
Fmn2	6.08605086138108	2.42391068574199	0.13885790398394	17.4560512307772	3.09624798634952e-68	5.62136374278457e-66
Clybl	4.21684045300965	4.25691731633747	0.246067350944198	17.2998055207366	4.71979438407257e-67	8.45472500666866e-65
Frmpd4	19.8949718828557	-7.34094167323208	0.425252870272929	-17.262532921931	9.00717920501889e-67	1.5922559555188e-64
Mybpc1	3.54734640898406	9.53313664529786	0.558157286574733	17.0796599356433	2.10341148318387e-65	3.67004328267212e-63
Rgs20	3.41430000529235	6.57142339232036	0.385001188665871	17.0685794895648	2.54312588827926e-65	4.38037132167076e-63
Slc20a2	2.93636301867555	4.39256121772602	0.25906983357171	16.9551242503507	1.76388104152996e-64	2.99971415100696e-62
Tulp3	3.44834244017897	3.38166758933145	0.201335048952062	16.7962190732952	2.60104768036006e-63	4.36813444820467e-61
Kcnma1	32.8637019520367	-6.12262539328073	0.365961180117957	-16.7302591802422	7.88942343936981e-63	1.30857288775226e-60
Phkg1	2.69495377195715	7.23228875649003	0.432397179241571	16.726031305698	8.46972907757791e-63	1.38769280679584e-60
Greb1l	2.98740419930164	6.93786590228709	0.415107061470221	16.7134374388011	1.04626583424167e-62	1.69356403410082e-60
Slc1a2	5.67203409096372	7.75743511254383	0.465203811592929	16.6753472762426	1.98057087515836e-62	3.16773448901816e-60
Adk	6.48814665681239	3.66916251193776	0.221023270349023	16.6007973103633	6.87713221512333e-62	1.08699142717861e-59
Ptchd4	5.65193576253998	-4.02968008600047	0.24307744215263	-16.5777624213694	1.00916927405514e-61	1.57653362755009e-59
Ppm1h	7.99410946938151	2.55184467527716	0.153969293284037	16.5737246748909	1.07928414597224e-61	1.66668764380886e-59
Atp1a2	16.0904094350873	8.41930788795982	0.508353283908236	16.5619228880198	1.31328962343512e-61	2.00500523759668e-59
Nwd1	1.31512055844722	6.41821289842621	0.388981687405089	16.5000387068151	3.66657500717258e-61	5.53488036195097e-59
